Watch,strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry,stkClose,diff_oi,diff_oi_d,totalOI,totalOIdiff,OI_pct,cum_sep_OI,pct
745.9,700,6921,7012,32355675,32185080,2026-01-05,2026-12-18,683.17,91,-170595,2087828623,-18132763,1.54155756106808,55.8798484773911,-0.00530043734550295
684.42,610,4319,4290,32237016,31926180,2026-01-05,2026-01-16,683.17,-29,-310835.999999996,1893286815,-26287558,1.68628333261804,75.1045667108816,-0.00973608493092491
691.11,200,642,642,31529262,31529262,2026-01-05,2026-12-18,683.17,0,0,2087828623,-18132763,1.51014607485818,57.3899945522492,0
706.15,690,18651,19426,29934855,31372990,2026-01-05,2026-03-20,683.17,775,1438135,1166791798,-16219966,2.68882503748968,37.4052580544451,0.045839908787782
749.52,710,7887,7895,31366599,31201040,2026-01-05,2026-12-18,683.17,8,-165559,2087828623,-18132763,1.4944253401013,58.8844198923505,-0.00530620133175048
682.75,585,3197,3187,31810150,31152925,2026-01-05,2026-01-16,683.17,-10,-657225,1893286815,-26287558,1.64544139605177,76.7500081069333,-0.0210967348972849
711.31,545,1872,1872,31133232,31133232,2026-01-05,2026-12-18,683.17,0,0,2087828623,-18132763,1.49117756395468,60.3755974563052,0
711.2,560,2021,2021,30917258,30557520,2026-01-05,2026-12-18,683.17,0,-359738,2087828623,-18132763,1.46360288691185,61.8392003432171,-0.0117724867724868
681.5,560,2469,2468,31425432,29986200,2026-01-05,2026-01-16,683.17,-1,-1439232,1893286815,-26287558,1.58381708267482,78.3338251896082,-0.0479964783800548
713.88,580,2242,2238,30278210,29962344,2026-01-05,2026-12-18,683.17,-4,-315866.000000004,2087828623,-18132763,1.43509594944374,63.2742962926608,-0.010542099109469
690.83,610,3680,3670,31600160,29664610,2026-01-05,2026-03-20,683.17,-10,-1935550.00000001,1166791798,-16219966,2.54240817006497,39.9476662245101,-0.0652477817844228
699.96,475,1320,1317,30222720,29627232,2026-01-05,2026-12-18,683.17,-3,-595488,2087828623,-18132763,1.41904520675785,64.6933414994187,-0.0200993464391139
706.35,505,1440,1440,28994400,28994400,2026-01-05,2026-12-18,683.17,0,0,2087828623,-18132763,1.38873467297991,66.0820761723986,0
685.37,660,11640,11333,29053440,28751821,2026-01-05,2026-01-16,683.17,-307,-301619,1893286815,-26287558,1.51861940685411,79.8524445964623,-0.010490431197384
698.63,665,8317,8474,28568895,28498062,2026-01-05,2026-03-20,683.17,157,-70833,1166791798,-16219966,2.44242906479533,42.3900952893054,-0.00248553743759839
738.74,680,4669,4802,27640480,28206948,2026-01-05,2026-12-18,683.17,133,566468,2087828623,-18132763,1.35101835894315,67.4330945313417,0.0200825697271467
729.9,650,3523,3515,28212184,28084850,2026-01-05,2026-12-18,683.17,-8,-127333.999999996,2087828623,-18132763,1.34517027358524,68.778264804927,-0.0045339035102554
684.4,605,3455,3455,28185890,27432700,2026-01-05,2026-01-16,683.17,0,-753189.999999996,1893286815,-26287558,1.44894581120294,81.3013904076652,-0.0274559193954659
697.41,660,7268,7261,28308860,27163401,2026-01-05,2026-03-20,683.17,-7,-1145459.00000001,1166791798,-16219966,2.32804181916267,44.7181371084681,-0.0421692040698441
687.25,500,1409,1408,26771000,26364800,2026-01-05,2026-03-20,683.17,-1,-406200,1166791798,-16219966,2.25959764588609,46.9777347543542,-0.0154069061779342
691.3,625,4058,3960,28389768,26254800,2026-01-05,2026-03-20,683.17,-98,-2134968,1166791798,-16219966,2.25017008561454,49.2279048399687,-0.0813172448466566
685.91,665,12460,12348,26153540,25819668,2026-01-05,2026-01-16,683.17,-112,-333872,1893286815,-26287558,1.36374836582803,82.6651387734932,-0.0129309176245024
708.79,555,1660,1658,26500240,25498382,2026-01-05,2026-12-18,683.17,-2,-1001858,2087828623,-18132763,1.22128711710837,69.9995519220353,-0.0392910420747481
688.37,570,2147,2145,26105373,25390365,2026-01-05,2026-03-20,683.17,-2,-715007.999999996,1166791798,-16219966,2.17608360322053,51.4039884431893,-0.0281606034415022
721.96,620,2475,2477,25472700,25255492,2026-01-05,2026-12-18,683.17,2,-217208,2087828623,-18132763,1.20965349941943,71.2092054214548,-0.00860042639438582
710.8,700,21707,22591,23486974,24398280,2026-01-05,2026-03-20,683.17,884,911305.999999996,1166791798,-16219966,2.09105686565685,53.4950453088461,0.0373512395136049
690.07,300,622,622,24226900,24262354,2026-01-05,2026-09-18,683.17,0,35454,616790460,-7688638.99999999,3.93364612027235,41.4034070825285,0.00146127618119825
687.69,560,1887,1885,24948027,24069565,2026-01-05,2026-03-20,683.17,-2,-878462,1166791798,-16219966,2.06288431588718,55.5579296247333,-0.0364967958498627
685.07,655,7898,7894,24957680,23737258,2026-01-05,2026-01-16,683.17,-4,-1220422,1893286815,-26287558,1.25375921978308,83.9188979932763,-0.0514137732336229
684.2,515,1379,1374,23957367,23248080,2026-01-05,2026-01-16,683.17,-5,-709287,1893286815,-26287558,1.22792171877033,85.1468197120467,-0.0305094872350749
687.4,675,18395,18634,23177700,23106160,2026-01-05,2026-01-16,683.17,239,-71540,1893286815,-26287558,1.22042575995016,86.3672454719968,-0.00309614405855408
688.93,680,25340,25676,22704640,22928668,2026-01-05,2026-01-16,683.17,336,224027.999999996,1893286815,-26287558,1.21105095215064,87.5782964241475,0.00977065043638803
691.69,630,3705,3707,23241465,22868483,2026-01-05,2026-03-20,683.17,2,-372982,1166791798,-16219966,1.95994547092283,57.5178750956561,-0.0163098706634804
