strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry.td,diff_oi,diff_oi_d,pct
315,34,25,4788.22,3425.25,2023-07-21,2023-08-18,-9,-1362.97,-0.39791840011678
315,34,5,4788.22,689.45,2023-07-21,2023-08-25,-29,-4098.77,-5.94498513307709
315,84,34,10892.28,4788.22,2023-07-21,2023-07-28,-50,-6104.06,-1.27480775737122
315,84,84,10892.28,10892.28,2023-07-21,2023-08-04,0,0,0
315,84,2,10892.28,271.82,2023-07-21,2023-08-11,-82,-10620.46,-39.0716650724744
315,84,25,10892.28,3425.25,2023-07-21,2023-08-18,-59,-7467.03,-2.17999562075761
315,84,5,10892.28,689.45,2023-07-21,2023-08-25,-79,-10202.83,-14.7985060555515
315,2,34,271.82,4788.22,2023-07-21,2023-07-28,32,4516.4,0.943231514007293
315,2,84,271.82,10892.28,2023-07-21,2023-08-04,82,10620.46,0.975044710565648
315,2,2,271.82,271.82,2023-07-21,2023-08-11,0,0,0
315,2,25,271.82,3425.25,2023-07-21,2023-08-18,23,3153.43,0.920642288884023
315,2,5,271.82,689.45,2023-07-21,2023-08-25,3,417.63,0.605743708753354
315,25,34,3425.25,4788.22,2023-07-21,2023-07-28,9,1362.97,0.284650663503348
315,25,84,3425.25,10892.28,2023-07-21,2023-08-04,59,7467.03,0.68553415813769
315,25,2,3425.25,271.82,2023-07-21,2023-08-11,-23,-3153.43,-11.6011698918402
315,25,25,3425.25,3425.25,2023-07-21,2023-08-18,0,0,0
315,25,5,3425.25,689.45,2023-07-21,2023-08-25,-20,-2735.8,-3.96809050692581
315,5,34,689.45,4788.22,2023-07-21,2023-07-28,29,4098.77,0.856011210846619
315,5,84,689.45,10892.28,2023-07-21,2023-08-04,79,10202.83,0.936702875798272
315,5,2,689.45,271.82,2023-07-21,2023-08-11,-3,-417.63,-1.53642116106247
315,5,25,689.45,3425.25,2023-07-21,2023-08-18,20,2735.8,0.798715422231954
315,5,5,689.45,689.45,2023-07-21,2023-08-25,0,0,0
320,28,28,3554.04,3554.04,2023-07-21,2023-07-28,0,0,0
320,28,5,3554.04,647.95,2023-07-21,2023-08-04,-23,-2906.09,-4.4850528590169
320,28,6,3554.04,821.28,2023-07-21,2023-08-11,-22,-2732.76,-3.32744009351257
320,28,55,3554.04,7547.65,2023-07-21,2023-08-18,27,3993.61,0.529119659761648
320,28,5,3554.04,647.75,2023-07-21,2023-08-25,-23,-2906.29,-4.48674642994983
320,5,28,647.95,3554.04,2023-07-21,2023-07-28,23,2906.09,0.817686351307245
320,5,5,647.95,647.95,2023-07-21,2023-08-04,0,0,0
320,5,6,647.95,821.28,2023-07-21,2023-08-11,1,173.33,0.211048607052406
320,5,55,647.95,7547.65,2023-07-21,2023-08-18,50,6899.7,0.91415208707346
320,5,5,647.95,647.75,2023-07-21,2023-08-25,0,-0.200000000000045,-0.000308761096101961
320,6,28,821.28,3554.04,2023-07-21,2023-07-28,22,2732.76,0.768916500658406
320,6,5,821.28,647.95,2023-07-21,2023-08-04,-1,-173.33,-0.267505208735242
