Watch,strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry,stkClose,diff_oi,diff_oi_d,totalOI,totalOIdiff,OI_pct,cum_sep_OI,pct
664.56,700,2203,2203,7807432,7807432,2025-12-26,2026-09-18,690.38,0,0,299497056,0,2.60684766130055,51.3868443501495,0
560.66,575,5436,5436,7795224,7795224,2025-12-26,2026-12-18,690.38,0,0,641936461,0,1.21432952847961,73.7178003976939,0
582.11,595,5909,5909,7616701,7616701,2025-12-26,2026-09-18,690.38,0,0,299497056,0,2.54316389674295,53.9300082468924,0
608.19,610,42009,42009,7603629,7603629,2025-12-26,2026-02-20,690.38,0,0,208161343,0,3.65275746707687,66.100266753179,0
541.73,550,9158,9158,7573666,7573666,2025-12-26,2026-09-18,690.38,0,0,299497056,0,2.52879480725179,56.4588030541442,0
649.03,650,77365,77365,7504405,7504405,2025-12-26,2026-01-16,690.38,0,0,147053251,0,5.10318877615293,22.3725601278954,0
680.26,740,1222,1222,7300228,7300228,2025-12-26,2026-12-18,690.38,0,0,641936461,0,1.1372197162049,74.8550201138988,0
627.31,630,27128,27128,7297432,7297432,2025-12-26,2026-02-20,690.38,0,0,208161343,0,3.50566147144813,69.6059282246272,0
672.09,675,25052,25052,7290132,7290132,2025-12-26,2026-01-16,690.38,0,0,147053251,0,4.95747761469075,27.3300377425862,0
615.79,620,17278,17278,7274038,7274038,2025-12-26,2026-03-20,690.38,0,0,429293910,0,1.69441909856117,75.4162561961338,0
405.76,410,16668,16668,7067232,7067232,2025-12-26,2026-12-18,690.38,0,0,641936461,0,1.10092391215647,75.9559440260553,0
658.56,660,49058,49058,7064352,7064352,2025-12-26,2026-01-16,690.38,0,0,147053251,0,4.80394139671213,32.1339791392983,0
608.04,625,4027,4027,6829792,6829792,2025-12-26,2026-09-18,690.38,0,0,299497056,0,2.28042041254656,58.7392234666908,0
