Date.td,expiry,totalOI,totalOIdiff,totalOI_itm,totalOIdiff_itm,OI_diff_pct,ITM_pct,OI_ITM_diff_pct
2023-08-10,2023-12-15,"$1,249.05M",($28.89)M,$994.00M,($9.56)M,-2%,80%,-1%
2023-08-11,2023-08-11,$63.02M,($7.99)M,$50.78M,($4.07)M,-13%,81%,-8%
2023-08-11,2023-08-18,"$1,651.09M",($37.27)M,"$1,607.52M",($27.01)M,-2%,97%,-2%
2023-08-11,2023-08-25,$57.24M,$1.45M,$38.28M,$2.51M,3%,67%,7%
2023-08-11,2023-09-01,$87.74M,$1.32M,$62.05M,$1.63M,1%,71%,3%
2023-08-11,2023-09-08,$54.10M,$3.91M,$24.43M,$0.76M,7%,45%,3%
2023-08-11,2023-09-15,"$1,809.37M",($39.40)M,"$1,653.47M",($30.53)M,-2%,91%,-2%
2023-08-11,2023-09-22,$7.12M,$0.75M,$1.26M,$0.43M,10%,18%,34%
2023-08-11,2023-09-29,$268.87M,($10.04)M,$213.89M,($7.31)M,-4%,80%,-3%
2023-08-11,2023-10-20,$466.37M,($1.84)M,$373.06M,($3.91)M,0%,80%,-1%
2023-08-11,2023-11-17,$130.63M,$1.16M,$80.46M,$0.54M,1%,62%,1%
2023-08-11,2023-12-15,"$1,230.17M",($18.88)M,$980.78M,($13.22)M,-1%,80%,-1%
2023-08-14,2023-08-18,"$1,598.63M",($52.46)M,"$1,565.66M",($41.87)M,-3%,98%,-3%
2023-08-14,2023-08-25,$54.09M,($3.14)M,$38.39M,$0.11M,-6%,71%,0%
2023-08-14,2023-09-01,$85.85M,($1.88)M,$63.03M,$0.98M,-2%,73%,1%
2023-08-14,2023-09-08,$53.93M,($0.17)M,$25.84M,$1.40M,0%,48%,5%
2023-08-14,2023-09-15,"$1,750.68M",($58.69)M,"$1,606.66M",($46.81)M,-3%,92%,-3%
2023-08-14,2023-09-22,$7.34M,$0.22M,$1.76M,$0.50M,3%,24%,28%
2023-08-14,2023-09-29,$266.30M,($2.57)M,$214.08M,$0.20M,-1%,80%,0%
2023-08-14,2023-10-20,$461.33M,($5.04)M,$370.66M,($2.40)M,-1%,80%,-1%
2023-08-14,2023-11-17,$124.03M,($6.60)M,$77.77M,($2.69)M,-5%,63%,-4%
2023-08-14,2023-12-15,"$1,195.52M",($34.66)M,$958.92M,($21.86)M,-3%,80%,-2%
2023-08-15,2023-08-18,"$1,513.95M",($84.69)M,"$1,495.71M",($69.95)M,-6%,99%,-5%
2023-08-15,2023-08-25,$58.07M,$3.98M,$44.78M,$6.39M,7%,77%,14%
2023-08-15,2023-09-01,$80.17M,($5.68)M,$60.31M,($2.72)M,-7%,75%,-4%
2023-08-15,2023-09-08,$55.11M,$1.17M,$32.98M,$7.14M,2%,60%,22%
2023-08-15,2023-09-15,"$1,696.07M",($54.61)M,"$1,562.30M",($44.36)M,-3%,92%,-3%
2023-08-15,2023-09-22,$9.18M,$1.84M,$1.80M,$0.04M,20%,20%,2%
2023-08-15,2023-09-29,$258.80M,($7.50)M,$209.63M,($4.46)M,-3%,81%,-2%
2023-08-15,2023-10-20,$452.65M,($8.68)M,$363.56M,($7.10)M,-2%,80%,-2%
2023-08-15,2023-11-17,$122.22M,($1.81)M,$76.73M,($1.03)M,-1%,63%,-1%
2023-08-15,2023-12-15,"$1,177.56M",($17.96)M,$948.87M,($10.06)M,-1%,81%,-1%
2023-08-16,2023-08-18,"$1,412.05M",($101.90)M,"$1,379.48M",($85.84)M,-7%,98%,-6%
2023-08-16,2023-08-25,$62.26M,$4.19M,$44.82M,$5.91M,7%,72%,13%
2023-08-16,2023-09-01,$80.31M,$0.14M,$54.59M,$0.75M,0%,68%,1%
2023-08-16,2023-09-08,$57.68M,$2.57M,$28.20M,$3.91M,4%,49%,14%
2023-08-16,2023-09-15,"$1,616.48M",($79.59)M,"$1,453.92M",($63.00)M,-5%,90%,-4%
2023-08-16,2023-09-22,$9.51M,$0.33M,$1.54M,$0.46M,3%,16%,30%
2023-08-16,2023-09-29,$248.33M,($10.48)M,$189.81M,($4.64)M,-4%,76%,-2%
2023-08-16,2023-10-20,$439.49M,($13.17)M,$316.82M,($6.09)M,-3%,72%,-2%
2023-08-16,2023-11-17,$120.09M,($2.13)M,$65.44M,($0.65)M,-2%,54%,-1%
2023-08-16,2023-12-15,"$1,142.17M",($35.39)M,$901.97M,($22.16)M,-3%,79%,-3%
2023-08-17,2023-08-18,"$1,226.38M",($185.67)M,"$1,203.69M",($151.06)M,-15%,98%,-12%
2023-08-17,2023-08-25,$55.67M,($6.59)M,$38.37M,$1.32M,-12%,69%,3%
2023-08-17,2023-09-01,$65.09M,($15.23)M,$35.56M,($2.51)M,-23%,55%,-7%
2023-08-17,2023-09-08,$45.06M,($12.62)M,$10.55M,($0.75)M,-28%,23%,-7%
2023-08-17,2023-09-15,"$1,465.40M",($151.08)M,"$1,286.78M",($91.87)M,-10%,88%,-7%
2023-08-17,2023-09-22,$10.43M,$0.93M,$1.39M,$0.15M,9%,13%,11%
2023-08-17,2023-09-29,$227.85M,($20.48)M,$159.93M,($9.39)M,-9%,70%,-6%
2023-08-17,2023-10-20,$408.47M,($31.02)M,$283.87M,($10.25)M,-8%,70%,-4%
2023-08-17,2023-11-17,$118.13M,($1.97)M,$58.75M,$4.09M,-2%,50%,7%
2023-08-17,2023-12-15,"$1,079.71M",($62.46)M,$831.40M,($31.51)M,-6%,77%,-4%
2023-08-18,2023-08-18,"$1,017.23M",($209.15)M,"$1,003.71M",($192.59)M,-21%,99%,-19%
2023-08-18,2023-08-25,$51.35M,($4.32)M,$36.16M,$4.24M,-8%,70%,12%
2023-08-18,2023-09-01,$54.46M,($10.62)M,$31.35M,($0.67)M,-20%,58%,-2%
2023-08-18,2023-09-08,$76.63M,$31.58M,$51.18M,$44.20M,41%,67%,86%
2023-08-18,2023-09-15,"$1,306.67M",($158.74)M,"$1,150.37M",($103.97)M,-12%,88%,-9%
2023-08-18,2023-09-22,$10.65M,$0.22M,$1.38M,$0.15M,2%,13%,11%
2023-08-18,2023-09-29,$205.87M,($21.98)M,$145.90M,($10.87)M,-11%,71%,-7%
2023-08-18,2023-10-20,$371.97M,($36.50)M,$268.09M,($14.01)M,-10%,72%,-5%
2023-08-18,2023-11-17,$114.02M,($4.11)M,$50.73M,$2.06M,-4%,44%,4%
2023-08-18,2023-12-15,$998.26M,($81.45)M,$773.67M,($47.93)M,-8%,78%,-6%
2023-08-21,2023-08-25,$56.17M,$4.82M,$42.76M,$6.60M,9%,76%,15%
2023-08-21,2023-09-01,$58.58M,$4.11M,$36.80M,$5.44M,7%,63%,15%
2023-08-21,2023-09-08,$107.43M,$30.80M,$82.59M,$31.42M,29%,77%,38%
2023-08-21,2023-09-15,"$1,258.79M",($47.88)M,"$1,111.37M",($39.00)M,-4%,88%,-4%
