strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry.td,diff_oi,diff_oi_d,pct
300,3223,1399,32.23,13.99,2023-07-21,2023-08-11,-1824,-18.24,-1.30378842030021
300,3223,34859,32.23,1394.36,2023-07-21,2023-08-18,31636,1362.13,0.976885452824235
300,3223,825,32.23,49.5,2023-07-21,2023-08-25,-2398,17.27,0.348888888888889
300,1399,6056,13.99,60.56,2023-07-21,2023-07-28,4657,46.57,0.768989431968296
300,1399,3203,13.99,32.03,2023-07-21,2023-08-04,1804,18.04,0.563221979394318
300,1399,1399,13.99,13.99,2023-07-21,2023-08-11,0,0,0
300,1399,34859,13.99,1394.36,2023-07-21,2023-08-18,33460,1380.37,0.989966723084426
300,1399,825,13.99,49.5,2023-07-21,2023-08-25,-574,35.51,0.717373737373737
300,35707,6056,1071.21,60.56,2023-07-21,2023-07-28,-29651,-1010.65,-16.6884081902246
300,35707,3203,1071.21,32.03,2023-07-21,2023-08-04,-32504,-1039.18,-32.4439587886357
300,35707,1399,1071.21,13.99,2023-07-21,2023-08-11,-34308,-1057.22,-75.5696926375983
300,35707,34859,1071.21,1394.36,2023-07-21,2023-08-18,-848,323.15,0.231755070426576
300,35707,825,1071.21,49.5,2023-07-21,2023-08-25,-34882,-1021.71,-20.6406060606061
300,825,6056,49.5,60.56,2023-07-21,2023-07-28,5231,11.06,0.182628797886394
300,825,3203,49.5,32.03,2023-07-21,2023-08-04,2378,-17.47,-0.545426162972214
300,825,1399,49.5,13.99,2023-07-21,2023-08-11,574,-35.51,-2.53824160114367
300,825,34859,49.5,1394.36,2023-07-21,2023-08-18,34034,1344.86,0.964499842221521
300,825,825,49.5,49.5,2023-07-21,2023-08-25,0,0,0
305,492,492,4.92,4.92,2023-07-21,2023-07-28,0,0,0
305,492,195,4.92,3.9,2023-07-21,2023-08-04,-297,-1.02,-0.261538461538462
305,492,19,4.92,0.38,2023-07-21,2023-08-11,-473,-4.54,-11.9473684210526
305,492,4278,4.92,128.34,2023-07-21,2023-08-18,3786,123.42,0.96166432912576
305,492,46,4.92,2.76,2023-07-21,2023-08-25,-446,-2.16,-0.782608695652174
305,195,492,3.9,4.92,2023-07-21,2023-07-28,297,1.02,0.207317073170732
